2019-01-07 22:05:03,124, p2, s0, c3ef5f56-30ca-42b8-a202-aed2a9545206, S1 initiated
2019-01-07 22:05:03,124, p2, s1, c3ef5f56-30ca-42b8-a202-aed2a9545206, S1 completed
2019-01-07 22:05:03,124, p2, s0, ece962b8-5eb4-429e-ba98-ec20640d26cc, S1 initiated
2019-01-07 22:05:03,124, p2, s1, ece962b8-5eb4-429e-ba98-ec20640d26cc, S1 completed
2019-01-07 22:05:03,124, p2, s0, d2678856-992b-4ea6-a359-794c93c7e000, S1 initiated
2019-01-07 22:05:03,124, p2, s1, d2678856-992b-4ea6-a359-794c93c7e000, S1 completed
2019-01-07 22:05:03,124, p2, s0, bc2f23ea-7d33-4c92-81f3-ff4c334ff478, S1 initiated
2019-01-07 22:05:03,124, p2, s1, bc2f23ea-7d33-4c92-81f3-ff4c334ff478, S1 completed
2019-01-07 22:05:03,124, p2, s0, cbb8fecf-155b-4d33-8b7f-03658e15113d, S1 initiated
2019-01-07 22:05:03,124, p2, s1, cbb8fecf-155b-4d33-8b7f-03658e15113d, S1 completed
2019-01-07 22:05:03,124, p2, s0, c5d1ed54-8b61-4659-818f-847b2c070f62, S1 initiated
2019-01-07 22:05:03,124, p2, s1, c5d1ed54-8b61-4659-818f-847b2c070f62, S1 completed
2019-01-07 22:05:03,124, p2, s0, 24c42539-bc4f-402c-b29f-185c639db3db, S1 initiated
2019-01-07 22:05:03,124, p2, s1, 24c42539-bc4f-402c-b29f-185c639db3db, S1 completed
2019-01-07 22:05:03,124, p2, s0, 904972fc-98c4-490f-b49d-a279a1ae0cc6, S1 initiated
2019-01-07 22:05:03,124, p2, s1, 904972fc-98c4-490f-b49d-a279a1ae0cc6, S1 completed
2019-01-07 22:05:03,124, p2, s0, abb211b8-f67a-41c4-9ca6-239dba7d88ac, S1 initiated
2019-01-07 22:05:03,124, p2, s1, abb211b8-f67a-41c4-9ca6-239dba7d88ac, S1 completed
2019-01-07 22:05:03,125, p2, s0, 659d9e0b-1859-4acc-ac26-059ffb0ee0a6, S1 initiated
2019-01-07 22:05:03,125, p2, s1, 659d9e0b-1859-4acc-ac26-059ffb0ee0a6, S1 completed
2019-01-07 22:05:03,125, p2, s0, 3a721b7c-e98f-4cb6-a12f-9224eae47cdc, S1 initiated
2019-01-07 22:05:03,125, p2, s1, 3a721b7c-e98f-4cb6-a12f-9224eae47cdc, S1 completed
2019-01-07 22:05:03,125, p2, s0, a5b28f06-8a08-4896-bd0f-f53603359ec9, S1 initiated
2019-01-07 22:05:03,125, p2, s1, a5b28f06-8a08-4896-bd0f-f53603359ec9, S1 completed
