2019-01-07 23:13:08,905, p3, s1, 306d56e1-f2ad-471a-91e9-82fb0928c81b, S1 completed
2019-01-07 23:13:08,905, p3, s0, 98da04f3-0244-4b43-bf83-151e353ec9ec, S1 initiated
2019-01-07 23:13:08,905, p3, s1, 98da04f3-0244-4b43-bf83-151e353ec9ec, S1 completed
2019-01-07 23:13:08,905, p3, s0, 95b21738-072d-4204-aa2a-04597abba355, S1 initiated
2019-01-07 23:13:08,905, p3, s1, 95b21738-072d-4204-aa2a-04597abba355, S1 completed
2019-01-07 23:13:08,905, p3, s0, a5261bad-8677-4c98-8b33-eecb94fd8ce3, S1 initiated
2019-01-07 23:13:08,905, p3, s1, a5261bad-8677-4c98-8b33-eecb94fd8ce3, S1 completed
2019-01-07 23:13:08,905, p3, s0, e0191746-cc04-475a-ac84-1f8e5530e655, S1 initiated
2019-01-07 23:13:08,905, p3, s1, e0191746-cc04-475a-ac84-1f8e5530e655, S1 completed
2019-01-07 23:13:08,905, p3, s0, 8fac73dd-b4ac-4ba5-8ad1-55778c5b0cbb, S1 initiated
2019-01-07 23:13:08,905, p3, s1, 8fac73dd-b4ac-4ba5-8ad1-55778c5b0cbb, S1 completed
2019-01-07 23:13:08,905, p3, s0, d3c90d7f-dddd-478d-a603-7a77128aff0f, S1 initiated
2019-01-07 23:13:08,905, p3, s1, d3c90d7f-dddd-478d-a603-7a77128aff0f, S1 completed
2019-01-07 23:13:08,906, p3, s0, ddbe69af-38d3-4965-8be3-da673f16daa3, S1 initiated
2019-01-07 23:13:08,906, p3, s1, ddbe69af-38d3-4965-8be3-da673f16daa3, S1 completed
2019-01-07 23:13:08,906, p3, s0, 147147cb-6136-4874-b8fb-179b3c5f5c09, S1 initiated
2019-01-07 23:13:08,906, p3, s1, 147147cb-6136-4874-b8fb-179b3c5f5c09, S1 completed
2019-01-07 23:13:08,906, p3, s0, ffc11bb0-59ab-448f-b07a-faba1836da14, S1 initiated
2019-01-07 23:13:08,906, p3, s2, c029124d-62e0-4a37-ad15-07524e00964e, S2 completed
2019-01-07 23:13:08,906, p3, s1, ffc11bb0-59ab-448f-b07a-faba1836da14, S1 completed
2019-01-07 23:13:08,906, p3, s0, 855a04bc-cfc8-4a64-a32d-5675a8a88efe, S1 initiated
2019-01-07 23:13:08,906, p3, s2, 43ff7d1c-68b2-4c52-b621-fb4146e5ff15, S2 completed
2019-01-07 23:13:08,906, p3, s1, 855a04bc-cfc8-4a64-a32d-5675a8a88efe, S1 completed
2019-01-07 23:13:08,906, p3, s2, 1e2e07de-0b5e-4478-9066-1008aafc8b90, S2 completed
2019-01-07 23:13:08,906, p3, s0, 3dc3723a-4f6a-4d99-abb7-5e6e784c8fe1, S1 initiated
2019-01-07 23:13:08,906, p3, s2, f862ac2d-3777-411d-85a2-2e88dde1648f, S2 completed
2019-01-07 23:13:08,906, p3, s1, 3dc3723a-4f6a-4d99-abb7-5e6e784c8fe1, S1 completed
2019-01-07 23:13:08,906, p3, s0, a35bbba0-d96d-4716-b2ad-7286976af2d8, S1 initiated
2019-01-07 23:13:08,906, p3, s2, 61ad7d2b-ea13-497f-a869-ad41967d988c, S2 completed
2019-01-07 23:13:08,906, p3, s1, a35bbba0-d96d-4716-b2ad-7286976af2d8, S1 completed
2019-01-07 23:13:08,906, p3, s2, 9e30ed81-3af6-4d12-ab2e-a9afd30cc03d, S2 completed
2019-01-07 23:13:08,906, p3, s0, 0272493d-0a3b-4018-9a4b-8010a0fc759c, S1 initiated
2019-01-07 23:13:08,906, p3, s2, f140dccc-f73a-4f1a-b354-0c966897669d, S2 completed
2019-01-07 23:13:08,906, p3, s1, 0272493d-0a3b-4018-9a4b-8010a0fc759c, S1 completed
2019-01-07 23:13:08,906, p3, s2, 86b154b0-39b8-4714-a86c-d71d1698faf6, S2 completed
2019-01-07 23:13:08,906, p3, s0, 3e15986e-6638-42b8-8300-cab96a9f5720, S1 initiated
2019-01-07 23:13:08,906, p3, s2, 86ca465d-bfe4-4cf9-bb35-408696d38af7, S2 completed
2019-01-07 23:13:08,906, p3, s1, 3e15986e-6638-42b8-8300-cab96a9f5720, S1 completed
2019-01-07 23:13:08,906, p3, s2, d791d642-1a0e-42db-90d9-db4cb81f3b57, S2 completed
2019-01-07 23:13:08,906, p3, s0, 3d42f0a7-7fa6-4480-a88d-96e13316ac28, S1 initiated
2019-01-07 23:13:08,906, p3, s2, b1d34b52-123f-48a9-9125-e85991e9d294, S2 completed
2019-01-07 23:13:08,906, p3, s1, 3d42f0a7-7fa6-4480-a88d-96e13316ac28, S1 completed
2019-01-07 23:13:08,906, p3, s2, 755f1f03-2cb8-4a3f-8e93-b1942fb5f6bf, S2 completed
2019-01-07 23:13:08,906, p3, s0, 64c96d8f-24e2-4f0b-98f0-863707ca3613, S1 initiated
2019-01-07 23:13:08,906, p3, s2, 6a290a2a-c622-41ea-9b14-01b67d1b48c0, S2 completed
2019-01-07 23:13:08,906, p3, s1, 64c96d8f-24e2-4f0b-98f0-863707ca3613, S1 completed
2019-01-07 23:13:08,906, p3, s2, 59dde545-9e74-4206-b143-c8486e4491fa, S2 completed
2019-01-07 23:13:08,907, p3, s0, 017f309d-b06a-4b3a-9a0c-dc57279cb477, S1 initiated
2019-01-07 23:13:08,907, p3, s2, 378c77e8-3d8f-4787-83ef-f482b2e25b2c, S2 completed
2019-01-07 23:13:08,907, p3, s1, 017f309d-b06a-4b3a-9a0c-dc57279cb477, S1 completed
2019-01-07 23:13:08,907, p3, s2, 59d649bf-a6f7-4ada-a54d-c044fe8f3357, S2 completed
2019-01-07 23:13:08,907, p3, s0, 8bca8899-594a-453a-b535-c258e268ab06, S1 initiated
2019-01-07 23:13:08,907, p3, s2, 7ff98eb2-3452-40a0-b895-0139b2f850b8, S2 completed
2019-01-07 23:13:08,907, p3, s1, 8bca8899-594a-453a-b535-c258e268ab06, S1 completed
