2019-01-07 16:18:19,919, p1, s1, 7417d170-d64f-4ce1-963f-317097e5d8de, S1 completed
2019-01-07 16:18:19,920, p1, s0, 29412e53-6d8f-4974-afd6-d8318bc14a69, S1 initiated
2019-01-07 16:18:19,930, p1, s1, 29412e53-6d8f-4974-afd6-d8318bc14a69, S1 completed
2019-01-07 16:18:19,930, p1, s0, 6bdf9ebe-6e9a-409b-9b8d-647c2648346d, S1 initiated
2019-01-07 16:18:19,941, p1, s1, 6bdf9ebe-6e9a-409b-9b8d-647c2648346d, S1 completed
2019-01-07 16:18:19,941, p1, s0, 93fd186c-291f-4c57-8e2e-6101568c71cb, S1 initiated
2019-01-07 16:18:19,951, p1, s1, 93fd186c-291f-4c57-8e2e-6101568c71cb, S1 completed
2019-01-07 16:18:19,952, p1, s0, 647477fd-6e9e-40b8-a79c-f50d1a2b3296, S1 initiated
2019-01-07 16:18:19,962, p1, s1, 647477fd-6e9e-40b8-a79c-f50d1a2b3296, S1 completed
2019-01-07 16:18:19,962, p1, s0, 383de702-51cf-47d3-a62a-7b032f0fe52d, S1 initiated
2019-01-07 16:18:19,973, p1, s1, 383de702-51cf-47d3-a62a-7b032f0fe52d, S1 completed
2019-01-07 16:18:19,973, p1, s0, 9fe8a3a3-53de-4a10-bbf0-61e3eecabc9d, S1 initiated
2019-01-07 16:18:19,983, p1, s1, 9fe8a3a3-53de-4a10-bbf0-61e3eecabc9d, S1 completed
2019-01-07 16:18:19,984, p1, s0, 435384cd-ac82-43e8-9ebe-8f29e670bdca, S1 initiated
2019-01-07 16:18:19,994, p1, s1, 435384cd-ac82-43e8-9ebe-8f29e670bdca, S1 completed
2019-01-07 16:18:19,994, p1, s0, 4a74c1e4-eb51-462b-8702-28f5a5a031cd, S1 initiated
2019-01-07 16:18:20,005, p1, s1, 4a74c1e4-eb51-462b-8702-28f5a5a031cd, S1 completed
2019-01-07 16:18:20,005, p1, s0, 8244e322-d1d2-4401-b9cf-a697b2ca12cd, S1 initiated
2019-01-07 16:18:20,015, p1, s1, 8244e322-d1d2-4401-b9cf-a697b2ca12cd, S1 completed
2019-01-07 16:18:20,016, p1, s0, d68c5b9c-630a-4ea7-99fa-e330a3830321, S1 initiated
2019-01-07 16:18:20,026, p1, s1, d68c5b9c-630a-4ea7-99fa-e330a3830321, S1 completed
2019-01-07 16:18:20,026, p1, s0, 29a8e15f-ac64-46a9-8c38-a9fcdbfeb21f, S1 initiated
2019-01-07 16:18:20,037, p1, s1, 29a8e15f-ac64-46a9-8c38-a9fcdbfeb21f, S1 completed
2019-01-07 16:18:20,037, p1, s0, 8015a9c2-bf84-47b7-911b-8588c69000e0, S1 initiated
2019-01-07 16:18:20,047, p1, s1, 8015a9c2-bf84-47b7-911b-8588c69000e0, S1 completed
2019-01-07 16:18:20,048, p1, s0, 0a2889b6-0824-4f1d-a6ee-fc2788619653, S1 initiated
2019-01-07 16:18:20,058, p1, s1, 0a2889b6-0824-4f1d-a6ee-fc2788619653, S1 completed
2019-01-07 16:18:20,058, p1, s0, 94915941-d51e-4c11-bf03-773bcf3717fe, S1 initiated
2019-01-07 16:18:20,069, p1, s1, 94915941-d51e-4c11-bf03-773bcf3717fe, S1 completed
2019-01-07 16:18:20,069, p1, s0, 705c7caf-6222-4750-af3c-198f049df772, S1 initiated
2019-01-07 16:18:20,079, p1, s1, 705c7caf-6222-4750-af3c-198f049df772, S1 completed
2019-01-07 16:18:20,080, p1, s0, 295ba741-81c1-463f-a1c6-244f0ac8da9d, S1 initiated
2019-01-07 16:18:20,090, p1, s1, 295ba741-81c1-463f-a1c6-244f0ac8da9d, S1 completed
2019-01-07 16:18:20,090, p1, s0, 5d2d85af-0000-4b0b-8f8f-f174a07e929f, S1 initiated
2019-01-07 16:18:20,101, p1, s1, 5d2d85af-0000-4b0b-8f8f-f174a07e929f, S1 completed
2019-01-07 16:18:20,101, p1, s0, 797c4129-1f55-47ec-84fa-2c3f59967c11, S1 initiated
2019-01-07 16:18:20,111, p1, s1, 797c4129-1f55-47ec-84fa-2c3f59967c11, S1 completed
2019-01-07 16:18:20,112, p1, s0, c0bf6e81-c4ee-410d-a799-c22e23bf051e, S1 initiated
2019-01-07 16:18:20,122, p1, s1, c0bf6e81-c4ee-410d-a799-c22e23bf051e, S1 completed
2019-01-07 16:18:20,122, p1, s0, 3d6d0b2b-cc7b-4b62-b36a-7827bacab28c, S1 initiated
2019-01-07 16:18:20,133, p1, s1, 3d6d0b2b-cc7b-4b62-b36a-7827bacab28c, S1 completed
2019-01-07 16:18:20,133, p1, s0, cbaca517-16ec-4a26-8930-24e82d66845b, S1 initiated
2019-01-07 16:18:20,143, p1, s1, cbaca517-16ec-4a26-8930-24e82d66845b, S1 completed
2019-01-07 16:18:20,144, p1, s0, bcdf72d9-5908-4906-b549-cc0b8e9a26b0, S1 initiated
2019-01-07 16:18:20,154, p1, s1, bcdf72d9-5908-4906-b549-cc0b8e9a26b0, S1 completed
2019-01-07 16:18:20,154, p1, s0, 36ed3259-5a67-4635-81de-661e545ea808, S1 initiated
2019-01-07 16:18:20,165, p1, s1, 36ed3259-5a67-4635-81de-661e545ea808, S1 completed
2019-01-07 16:18:20,165, p1, s0, 8705a87c-8121-4daa-8bf9-98913663cd73, S1 initiated
2019-01-07 16:18:20,175, p1, s1, 8705a87c-8121-4daa-8bf9-98913663cd73, S1 completed
2019-01-07 16:18:20,176, p1, s0, 11446d30-0f65-4e95-8e48-0bc934ac828f, S1 initiated
2019-01-07 16:18:20,186, p1, s1, 11446d30-0f65-4e95-8e48-0bc934ac828f, S1 completed
2019-01-07 16:18:20,186, p1, s0, 7dfce9bc-d249-42a0-9199-6790c7e53b7e, S1 initiated
2019-01-07 16:18:20,197, p1, s1, 7dfce9bc-d249-42a0-9199-6790c7e53b7e, S1 completed
2019-01-07 16:18:20,197, p1, s0, 458e5458-a178-41cc-83e0-3df534bc60af, S1 initiated
2019-01-07 16:18:20,207, p1, s1, 458e5458-a178-41cc-83e0-3df534bc60af, S1 completed
2019-01-07 16:18:20,208, p1, s0, d2f741d5-4171-4dc7-9de4-9f5ee3acdd3c, S1 initiated
2019-01-07 16:18:20,218, p1, s1, d2f741d5-4171-4dc7-9de4-9f5ee3acdd3c, S1 completed
2019-01-07 16:18:20,218, p1, s0, bf491823-e913-4455-bf7e-82410be203f1, S1 initiated
2019-01-07 16:18:20,229, p1, s1, bf491823-e913-4455-bf7e-82410be203f1, S1 completed
2019-01-07 16:18:20,229, p1, s0, 914e893c-d75a-42b6-b31e-c7a5fe3ff7de, S1 initiated
2019-01-07 16:18:20,239, p1, s1, 914e893c-d75a-42b6-b31e-c7a5fe3ff7de, S1 completed
