2019-01-08 00:55:21,159, p4, s0, 86683db1-6199-4e4e-8bc5-da7d6d5090be, S1 initiated
2019-01-08 00:55:21,160, p4, s1, 86683db1-6199-4e4e-8bc5-da7d6d5090be, S1 completed
2019-01-08 00:55:21,160, p4, s0, 96dcc8d8-bca8-433e-a992-7b5e3f23f9b2, S1 initiated
2019-01-08 00:55:21,160, p4, s1, 96dcc8d8-bca8-433e-a992-7b5e3f23f9b2, S1 completed
2019-01-08 00:55:21,160, p4, s0, 69cac7aa-4daa-45f5-808e-c240e04eba1e, S1 initiated
2019-01-08 00:55:21,160, p4, s1, 69cac7aa-4daa-45f5-808e-c240e04eba1e, S1 completed
2019-01-08 00:55:21,160, p4, s0, 226e3569-382a-4477-a2e5-7af50e4fe87b, S1 initiated
2019-01-08 00:55:21,160, p4, s1, 226e3569-382a-4477-a2e5-7af50e4fe87b, S1 completed
2019-01-08 00:55:21,160, p4, s0, 50653b8a-3193-49ef-9be3-01f0ed219b4c, S1 initiated
2019-01-08 00:55:21,160, p4, s1, 50653b8a-3193-49ef-9be3-01f0ed219b4c, S1 completed
2019-01-08 00:55:21,160, p4, s0, abe84a3c-c343-4e4e-8e2a-33dbe495d7e8, S1 initiated
2019-01-08 00:55:21,160, p4, s1, abe84a3c-c343-4e4e-8e2a-33dbe495d7e8, S1 completed
2019-01-08 00:55:21,160, p4, s0, f980455d-1d00-4de7-8f9a-0d241d10cb03, S1 initiated
2019-01-08 00:55:21,160, p4, s1, f980455d-1d00-4de7-8f9a-0d241d10cb03, S1 completed
2019-01-08 00:55:21,160, p4, s0, 1287d33b-b53a-4cde-b8eb-eea30300ee08, S1 initiated
2019-01-08 00:55:21,160, p4, s1, 1287d33b-b53a-4cde-b8eb-eea30300ee08, S1 completed
2019-01-08 00:55:21,160, p4, s0, 90ac9b92-91a4-40b0-8c0a-636ccd6992fb, S1 initiated
2019-01-08 00:55:21,160, p4, s1, 90ac9b92-91a4-40b0-8c0a-636ccd6992fb, S1 completed
2019-01-08 00:55:21,160, p4, s0, 0c372be6-6c6c-43eb-ba92-e52178072921, S1 initiated
2019-01-08 00:55:21,160, p4, s1, 0c372be6-6c6c-43eb-ba92-e52178072921, S1 completed
2019-01-08 00:55:21,160, p4, s0, a1a0c6c5-50f5-4821-85c5-1e1db366b441, S1 initiated
2019-01-08 00:55:21,161, p4, s1, a1a0c6c5-50f5-4821-85c5-1e1db366b441, S1 completed
2019-01-08 00:55:21,161, p4, s0, 95be9e92-f7ae-4941-bc62-c26ce4cc9e8a, S1 initiated
2019-01-08 00:55:21,161, p4, s1, 95be9e92-f7ae-4941-bc62-c26ce4cc9e8a, S1 completed
2019-01-08 00:55:21,161, p4, s0, fa561a60-7d44-4759-bfd3-e733f4829a54, S1 initiated
2019-01-08 00:55:21,161, p4, s1, fa561a60-7d44-4759-bfd3-e733f4829a54, S1 completed
2019-01-08 00:55:21,161, p4, s0, fcbf1d94-cd79-44e6-bd00-042577b6af6b, S1 initiated
2019-01-08 00:55:21,161, p4, s1, fcbf1d94-cd79-44e6-bd00-042577b6af6b, S1 completed
2019-01-08 00:55:21,161, p4, s0, 8f344b47-a2af-4ce2-aff6-28464632060d, S1 initiated
2019-01-08 00:55:21,161, p4, s1, 8f344b47-a2af-4ce2-aff6-28464632060d, S1 completed
2019-01-08 00:55:21,161, p4, s0, ce78254f-9d7e-4c08-a21d-614a16eae502, S1 initiated
2019-01-08 00:55:21,161, p4, s1, ce78254f-9d7e-4c08-a21d-614a16eae502, S1 completed
2019-01-08 00:55:21,161, p4, s0, c52d10f6-dd15-4ff2-86a6-f0fec29b3be7, S1 initiated
2019-01-08 00:55:21,161, p4, s1, c52d10f6-dd15-4ff2-86a6-f0fec29b3be7, S1 completed
2019-01-08 00:55:21,161, p4, s0, f698c497-a9a1-45c7-9b49-ed819100fb36, S1 initiated
2019-01-08 00:55:21,161, p4, s1, f698c497-a9a1-45c7-9b49-ed819100fb36, S1 completed
2019-01-08 00:55:21,161, p4, s0, c8ef76ba-a414-4e9c-bac2-0ee49f585f05, S1 initiated
2019-01-08 00:55:21,161, p4, s1, c8ef76ba-a414-4e9c-bac2-0ee49f585f05, S1 completed
2019-01-08 00:55:21,161, p4, s0, 6a1bc7e7-9679-4ce5-84c8-3df24ad8f4dd, S1 initiated
2019-01-08 00:55:21,161, p4, s1, 6a1bc7e7-9679-4ce5-84c8-3df24ad8f4dd, S1 completed
2019-01-08 00:55:21,162, p4, s0, 1ac30214-295a-40d8-b5b3-df0ce789ef70, S1 initiated
2019-01-08 00:55:21,162, p4, s1, 1ac30214-295a-40d8-b5b3-df0ce789ef70, S1 completed
2019-01-08 00:55:21,162, p4, s0, ab5ca855-f64e-4117-bc0a-986c04e072fb, S1 initiated
2019-01-08 00:55:21,162, p4, s1, ab5ca855-f64e-4117-bc0a-986c04e072fb, S1 completed
2019-01-08 00:55:21,162, p4, s0, 972797a6-7656-4108-925c-f198c84dc4b6, S1 initiated
2019-01-08 00:55:21,162, p4, s1, 972797a6-7656-4108-925c-f198c84dc4b6, S1 completed
2019-01-08 00:55:21,162, p4, s0, d491a118-2058-4a5f-a5bf-bf3e234c74b2, S1 initiated
2019-01-08 00:55:21,162, p4, s1, d491a118-2058-4a5f-a5bf-bf3e234c74b2, S1 completed
2019-01-08 00:55:21,162, p4, s0, 6b564e0f-5a82-4544-a2df-914eba1cf729, S1 initiated
2019-01-08 00:55:21,162, p4, s1, 6b564e0f-5a82-4544-a2df-914eba1cf729, S1 completed
2019-01-08 00:55:21,162, p4, s0, a5b042f0-9785-4ffc-9db1-b0eb2a64b018, S1 initiated
2019-01-08 00:55:21,162, p4, s1, a5b042f0-9785-4ffc-9db1-b0eb2a64b018, S1 completed
2019-01-08 00:55:21,162, p4, s0, fd9ccf7a-17c8-4002-a476-e897e612c29a, S1 initiated
2019-01-08 00:55:21,162, p4, s1, fd9ccf7a-17c8-4002-a476-e897e612c29a, S1 completed
2019-01-08 00:55:21,162, p4, s0, 972d2b2c-3762-452f-a6e4-a313e7c48b2a, S1 initiated
2019-01-08 00:55:21,162, p4, s1, 972d2b2c-3762-452f-a6e4-a313e7c48b2a, S1 completed
2019-01-08 00:55:21,162, p4, s0, e4bf677c-f7d6-40ce-8fc0-1df13f4a8e86, S1 initiated
2019-01-08 00:55:21,162, p4, s1, e4bf677c-f7d6-40ce-8fc0-1df13f4a8e86, S1 completed
2019-01-08 00:55:21,162, p4, s0, 696160d1-c704-48b8-adb6-276949f9c2bf, S1 initiated
2019-01-08 00:55:21,162, p4, s1, 696160d1-c704-48b8-adb6-276949f9c2bf, S1 completed
2019-01-08 00:55:21,163, p4, s0, a7866c98-60cb-45cd-912c-ab1513da4f85, S1 initiated
2019-01-08 00:55:21,163, p4, s1, a7866c98-60cb-45cd-912c-ab1513da4f85, S1 completed
2019-01-08 00:55:21,163, p4, s0, 480d6f53-2226-4e7e-9a43-a00d1f22080f, S1 initiated
2019-01-08 00:55:21,163, p4, s1, 480d6f53-2226-4e7e-9a43-a00d1f22080f, S1 completed
2019-01-08 00:55:21,163, p4, s0, ac62fd24-0bec-4a6c-87e4-033f92ce1c71, S1 initiated
2019-01-08 00:55:21,163, p4, s1, ac62fd24-0bec-4a6c-87e4-033f92ce1c71, S1 completed
2019-01-08 00:55:21,163, p4, s0, 68239b3c-857d-4818-840c-d33108a3d0e1, S1 initiated
2019-01-08 00:55:21,163, p4, s1, 68239b3c-857d-4818-840c-d33108a3d0e1, S1 completed
2019-01-08 00:55:21,163, p4, s0, 21c33773-b802-4477-b372-e18cd7a5a1f8, S1 initiated
2019-01-08 00:55:21,163, p4, s1, 21c33773-b802-4477-b372-e18cd7a5a1f8, S1 completed
2019-01-08 00:55:21,163, p4, s0, 5b6f75a9-9422-4f08-84fd-a5adf6fec642, S1 initiated
2019-01-08 00:55:21,163, p4, s1, 5b6f75a9-9422-4f08-84fd-a5adf6fec642, S1 completed
2019-01-08 00:55:21,163, p4, s0, 11f63296-5cbc-4db1-b480-d27af55bf347, S1 initiated
2019-01-08 00:55:21,163, p4, s1, 11f63296-5cbc-4db1-b480-d27af55bf347, S1 completed
2019-01-08 00:55:21,163, p4, s0, e9e4c832-e876-4772-a1b5-55b951c4a730, S1 initiated
2019-01-08 00:55:21,163, p4, s1, e9e4c832-e876-4772-a1b5-55b951c4a730, S1 completed
2019-01-08 00:55:21,163, p4, s0, 9b1cd97b-ce71-4553-8922-f95a0d2040ca, S1 initiated
2019-01-08 00:55:21,163, p4, s1, 9b1cd97b-ce71-4553-8922-f95a0d2040ca, S1 completed
2019-01-08 00:55:21,163, p4, s0, a9927e75-950e-43fc-9d20-37744c92f22f, S1 initiated
2019-01-08 00:55:21,164, p4, s1, a9927e75-950e-43fc-9d20-37744c92f22f, S1 completed
2019-01-08 00:55:21,164, p4, s0, 4ea6920b-f85f-45e9-a763-7f6f920d5b5d, S1 initiated
2019-01-08 00:55:21,164, p4, s1, 4ea6920b-f85f-45e9-a763-7f6f920d5b5d, S1 completed
2019-01-08 00:55:21,164, p4, s0, e356ec27-0c0e-4e49-9908-4e1f6d25fb7c, S1 initiated
2019-01-08 00:55:21,164, p4, s1, e356ec27-0c0e-4e49-9908-4e1f6d25fb7c, S1 completed
2019-01-08 00:55:21,164, p4, s0, 4ce17e2c-acaf-4e30-b9e8-8d29361467f9, S1 initiated
2019-01-08 00:55:21,164, p4, s1, 4ce17e2c-acaf-4e30-b9e8-8d29361467f9, S1 completed
2019-01-08 00:55:21,164, p4, s0, f46ce787-1b2e-4e52-8d46-4664d3162770, S1 initiated
2019-01-08 00:55:21,164, p4, s1, f46ce787-1b2e-4e52-8d46-4664d3162770, S1 completed
2019-01-08 00:55:21,164, p4, s0, 962a582f-5713-4110-b75e-3a5ed548633b, S1 initiated
2019-01-08 00:55:21,164, p4, s1, 962a582f-5713-4110-b75e-3a5ed548633b, S1 completed
2019-01-08 00:55:21,164, p4, s0, cce973eb-254e-4e11-8ca9-418bb2ee2209, S1 initiated
